circID	read	GT_AG_read	CT_AC_read	left_backratio	right_backratio	circID	annotaion	length_exon	pos_exon
chr6_89749223_89750532_-	120	120	0	0.909090909090909	0.9375	chr6_89749223_89750532_-	gene_id "ENSG00000112159.11"; transcript_id "ENST00000369393.7"; gene_type "protein_coding"; gene_name "MDN1"	532	exon_number24;exon_number25;exon_number26
chr12_123586747_123590449_+	71	71	0	0.0856453558504222	0.35678391959799	chr12_123586747_123590449_+	gene_id "ENSG00000086598.10"; transcript_id "ENST00000438031.2"; gene_type "protein_coding"; gene_name "TMED2"	316	exon_number4;exon_number3;exon_number2
chr9_2191266_2192802_+	5	5	0	0.0142450142450142	1	chr9_2191266_2192802_+	gene_id "ENSG00000080503.23"; transcript_id "ENST00000635273.1"; gene_type "protein_coding"; gene_name "SMARCA2"	234	exon_number6;exon_number5
chr8_68115753_68157436_+	102	102	0	0.352941176470588	1	chr8_68115753_68157436_+	gene_id "ENSG00000046889.18"; transcript_id "ENST00000288368.4"; gene_type "protein_coding"; gene_name "PREX2"	1190	exon_number35;exon_number34;exon_number33;exon_number32;exon_number31;exon_number30;exon_number29;exon_number28;exon_number27;exon_number26
chr9_107306379_107318879_+	8	8	0	0.0238095238095238	0.016260162601626	chr9_107306379_107318879_+	gene_id "ENSG00000119318.12"; transcript_id "ENST00000416373.6"; gene_type "protein_coding"; gene_name "RAD23B"	450	exon_number6;exon_number5;exon_number4
chr17_75242336_75243570_-	120	120	0	0.764331210191083	0.740740740740741	chr17_75242336_75243570_-	gene_id "ENSG00000125447.17"; transcript_id "ENST00000582486.5"; gene_type "protein_coding"; gene_name "GGA3"	443	exon_number5;exon_number6;exon_number7;exon_number8
chr9_85669485_85712566_-	44	44	0	0.239130434782609	0.237467018469657	chr9_85669485_85712566_-	gene_id "ENSG00000135049.15"; transcript_id "ENST00000357081.7"; gene_type "protein_coding"; gene_name "AGTPBP1"	688	exon_number2;exon_number3;exon_number4;exon_number5;exon_number6;exon_number7;exon_number8
chr3_50252100_50253184_+	6	6	0	0.0186335403726708	0.00265017667844523	chr3_50252100_50253184_+	gene_id "ENSG00000114353.16"; transcript_id "ENST00000266027.9"; gene_type "protein_coding"; gene_name "GNAI2"	343	exon_number4;exon_number3;exon_number2
chr9_39951170_39956291_+	2	2	0	1	1	NA	NA	NA	NA
chr7_38789801_38796864_-	14	14	0	0.0736842105263158	0.0818713450292398	chr7_38789801_38796864_-	gene_id "ENSG00000006715.15"; transcript_id "ENST00000310301.8"; gene_type "protein_coding"; gene_name "VPS41"	331	exon_number8;exon_number9;exon_number10
chr2_61522611_61533903_-	153	153	0	0.393316195372751	0.665217391304348	chr2_61522611_61533903_-	gene_id "ENSG00000082898.16"; transcript_id "ENST00000428210.5"; gene_type "protein_coding"; gene_name "XPO1"	1295	exon_number2;exon_number3;exon_number4;exon_number5
chr3_196483770_196488683_-	41	32	9	0.0870488322717622	0.559109874826147	chr3_196483770_196488683_-	gene_id "ENSG00000163961.4"; transcript_id "ENST00000318037.3"; gene_type "protein_coding"; gene_name "RNF168"	376	exon_number2;exon_number3;exon_number4
chr3_63912588_63913225_+	81	81	0	0.818181818181818	0.529411764705882	chr3_63912588_63913225_+	gene_id "ENSG00000163635.18"; transcript_id "ENST00000487717.5"; gene_type "protein_coding"; gene_name "ATXN7"	403	exon_number3;exon_number2
chr10_126970702_126990603_+	3	3	0	0.291666666666667	0.0188679245283019	chr10_126970702_126990603_+	gene_id "ENSG00000150760.12"; transcript_id "ENST00000623213.1"; gene_type "protein_coding"; gene_name "DOCK1"	422	exon_number6;exon_number5;exon_number4;exon_number3;exon_number2
chr3_113661283_113677356_-	1	1	0	1	1	chr3_113661283_113677356_-	gene_id "ENSG00000176542.9"; transcript_id "ENST00000491165.5"; gene_type "protein_coding"; gene_name "USF3"	270	exon_number3;exon_number4;exon_number5;exon_number6
chr17_45475100_45475726_-	2	2	0	0.032258064516129	0.0909090909090909	chr17_45475100_45475726_-	gene_id "ENSG00000225190.10"; transcript_id "ENST00000430334.7"; gene_type "protein_coding"; gene_name "PLEKHM1"	626	exon_number4
chr15_62007308_62013992_-	195	195	0	0.919811320754717	0.783132530120482	chr15_62007308_62013992_-	gene_id "ENSG00000129003.17"; transcript_id "ENST00000261517.9"; gene_type "protein_coding"; gene_name "VPS13C"	600	exon_number10;exon_number11;exon_number12;exon_number13;exon_number14;exon_number15
chr17_42498924_42501304_+	23	23	0	1	1	chr17_42498924_42501304_+	gene_id "ENSG00000033627.16"; transcript_id "ENST00000343619.8"; gene_type "protein_coding"; gene_name "ATP6V0A1"	441	exon_number17;exon_number16;exon_number15
chr12_124095745_124103607_+	2	2	0	1	1	NA	NA	NA	NA
chr6_167022409_167040339_+	27	27	0	0.830985915492958	1	chr6_167022409_167040339_+	gene_id "ENSG00000213066.12"; transcript_id "ENST00000349556.4"; gene_type "protein_coding"; gene_name "FGFR1OP"	954	exon_number12;exon_number11;exon_number10;exon_number9;exon_number8;exon_number7
chr1_32279671_32280210_+	81	81	0	0.205063291139241	0.355263157894737	chr1_32279671_32280210_+	gene_id "ENSG00000182866.16"; transcript_id "ENST00000469765.5"; gene_type "protein_coding"; gene_name "LCK"	454	exon_number11;exon_number10
chr6_138943513_138944622_-	48	45	3	0.494845360824742	0.195918367346939	chr6_138943513_138944622_-	gene_id "ENSG00000135597.18"; transcript_id "ENST00000258062.9"; gene_type "protein_coding"; gene_name "REPS1"	349	exon_number5;exon_number6;exon_number7
chr1_112653598_112659779_+	179	179	0	0.195628415300546	0.209356725146199	chr1_112653598_112659779_+	gene_id "ENSG00000116489.12"; transcript_id "ENST00000466066.1"; gene_type "protein_coding"; gene_name "CAPZA1"	450	exon_number1
chr6_36601708_36603173_+	38	38	0	0.0755467196819085	1	chr6_36601708_36603173_+	gene_id "ENSG00000112081.16"; transcript_id "ENST00000620389.1"; gene_type "protein_coding"; gene_name "SRSF3"	900	exon_number3;exon_number2
chr3_183752073_183756689_+	12	12	0	0.315789473684211	0.8	chr3_183752073_183756689_+	gene_id "ENSG00000163872.15"; transcript_id "ENST00000305135.9"; gene_type "protein_coding"; gene_name "YEATS2"	580	exon_number12;exon_number11;exon_number10
chr11_93683559_93687865_+	1	1	0	0.0294117647058824	0.03125	chr11_93683559_93687865_+	gene_id "ENSG00000166004.14"; transcript_id "ENST00000325212.10"; gene_type "protein_coding"; gene_name "CEP295"	568	exon_number10;exon_number9;exon_number8
chr9_95468751_95469931_-	32	32	0	1	1	chr9_95468751_95469931_-	gene_id "ENSG00000185920.15"; transcript_id "ENST00000437951.5"; gene_type "protein_coding"; gene_name "PTCH1"	520	exon_number13;exon_number14
chr8_96306444_96331095_+	24	24	0	0.333333333333333	0.648648648648649	chr8_96306444_96331095_+	gene_id "ENSG00000156471.12"; transcript_id "ENST00000517982.1"; gene_type "protein_coding"; gene_name "PTDSS1"	778	exon_number1
chrX_77652114_77664778_-	1	1	0	0.86968085106383	0.159857904085258	chrX_77652114_77664778_-	gene_id "ENSG00000085224.22"; transcript_id "ENST00000480283.5"; gene_type "protein_coding"; gene_name "ATRX"	743	exon_number12;exon_number13;exon_number14;exon_number15;exon_number16
chr20_4795815_4801062_-	18	18	0	0.382978723404255	0.0861244019138756	chr20_4795815_4801062_-	gene_id "ENSG00000101265.15"; transcript_id "ENST00000379400.7"; gene_type "protein_coding"; gene_name "RASSF2"	316	exon_number3;exon_number4;exon_number5
chr14_30955620_30956242_-	93	93	0	0.295238095238095	0.81547619047619	chr14_30955620_30956242_-	gene_id "ENSG00000196792.11"; transcript_id "ENST00000555152.1"; gene_type "protein_coding"; gene_name "STRN3"	176	exon_number2;exon_number3
chr6_84160812_84163270_-	74	74	0	0.770833333333333	0.432748538011696	chr6_84160812_84163270_-	gene_id "ENSG00000135315.11"; transcript_id "ENST00000461137.5"; gene_type "protein_coding"; gene_name "CEP162"	393	exon_number10;exon_number11;exon_number12
chrX_135545423_135556300_+	29	29	0	1	1	chrX_135545423_135556300_+	gene_id "ENSG00000165359.15"; transcript_id "ENST00000493637.6"; gene_type "protein_coding"; gene_name "INTS6L"	996	exon_number9;exon_number8;exon_number7;exon_number6;exon_number5;exon_number4;exon_number3
chr17_48162469_48189500_-	66	66	0	0.117857142857143	0.383802816901408	chr17_48162469_48189500_-	gene_id "ENSG00000141293.15"; transcript_id "ENST00000336915.10"; gene_type "protein_coding"; gene_name "SKAP1"	691	exon_number5;exon_number6;exon_number7;exon_number8;exon_number9;exon_number10;exon_number11
chr10_45939361_45965855_-	13	13	0	0.361111111111111	1	chr10_45939361_45965855_-	gene_id "ENSG00000239883.8"; transcript_id "ENST00000417555.2"; gene_type "transcribed_unprocessed_pseudogene"; gene_name "PARGP1"	1448	exon_number2;exon_number3;exon_number4;exon_number5;exon_number6
chr3_33400189_33425741_-	1	1	0	0.0212765957446809	0.585858585858586	chr3_33400189_33425741_-	gene_id "ENSG00000153560.11"; transcript_id "ENST00000283629.7"; gene_type "protein_coding"; gene_name "UBP1"	1057	exon_number2;exon_number3;exon_number4;exon_number5;exon_number6;exon_number7;exon_number8;exon_number9;exon_number10;exon_number11
chr7_7786788_7801743_+	12	12	0	1	0.226415094339623	chr7_7786788_7801743_+	gene_id "ENSG00000219545.11"; transcript_id "ENST00000482067.3"; gene_type "protein_coding"; gene_name "UMAD1"	73	exon_number3
chr7_139398599_139407350_+	43	43	0	0.154666666666667	0.0255496137849079	chr7_139398599_139407350_+	gene_id "ENSG00000146963.17"; transcript_id "ENST00000456182.5"; gene_type "protein_coding"; gene_name "LUC7L2"	527	exon_number7;exon_number6;exon_number5;exon_number4
chr2_32377588_32395593_+	40	40	0	0.32258064516129	0.327868852459016	chr2_32377588_32395593_+	gene_id "ENSG00000115760.14"; transcript_id "ENST00000648282.1"; gene_type "protein_coding"; gene_name "BIRC6"	704	exon_number6;exon_number5;exon_number4;exon_number3;exon_number2
chr8_53970392_54000050_-	1	1	0	0.00343642611683849	0.00101010101010101	chr8_53970392_54000050_-	gene_id "ENSG00000253667.2"; transcript_id "ENST00000523153.2"; gene_type "processed_pseudogene"; gene_name "AC100821.1"	2476	exon_number3;exon_number2;exon_number1
chrX_118542725_118546116_+	17	17	0	0.145299145299145	0.333333333333333	chrX_118542725_118546116_+	gene_id "ENSG00000147251.15"; transcript_id "ENST00000276202.8"; gene_type "protein_coding"; gene_name "DOCK11"	451	exon_number6;exon_number5;exon_number4;exon_number3;exon_number2
chr10_71635238_71646617_+	23	23	0	1	1	chr10_71635238_71646617_+	gene_id "ENSG00000107736.20"; transcript_id "ENST00000466757.8"; gene_type "protein_coding"; gene_name "CDH23"	371	exon_number8;exon_number7;exon_number6;exon_number5
chr13_111205289_111233293_+	3	3	0	0.0379746835443038	0.0214285714285714	chr13_111205289_111233293_+	gene_id "ENSG00000102606.18"; transcript_id "ENST00000317133.9"; gene_type "protein_coding"; gene_name "ARHGEF7"	503	exon_number6;exon_number5;exon_number4;exon_number3
chr8_130060579_130092143_-	41	41	0	0.418918918918919	0.180616740088106	chr8_130060579_130092143_-	gene_id "ENSG00000280543.1"; transcript_id "ENST00000626977.1"; gene_type "sense_intronic"; gene_name "ASAP1-IT2"	2030	exon_number1
chr11_74789626_74810330_+	7	7	0	0.283236994219653	0.056	chr11_74789626_74810330_+	gene_id "ENSG00000166435.15"; transcript_id "ENST00000530562.5"; gene_type "protein_coding"; gene_name "XRRA1"	447	exon_number14
